time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
13.5,127.236959320532,112.629363422029,1692.66,14.055262408325,12.8277777777778,14.1387314256453,8.73181800661244,10.4086042056648,-3.60093240093328,-6.36405876322106,12.5363541102823,-1.49743380702034,5.7137533824014,13.1560547676524,7729.41376470214,27157.9948531466,5886.99376994165,-2308.38709993955,0.0654657139679884
13.6,128.155721935312,113.530045258981,1692.26,14.7601455372381,12.8527777777778,13.8040764670303,8.26189568972196,11.7517120153039,-3.39120046620157,-6.26968867101193,12.2641192408377,0.913734273581431,6.0450777611291,12.5141674996447,8615.22918929874,26921.9694545449,7201.1893606249,-2356.89356578142,0.056962961925047
13.7,128.936651843585,114.80877596835,1691.66,15.3083196694798,13.1972222222222,12.8994797639684,7.86611026816396,12.8120063284088,-2.88469308469373,-7.33381809087497,10.3338729020523,2.4130398329107,4.42557676951118,12.0526691573698,9390.19050192516,26710.7320279717,6120.63452658354,-2319.02299965777,0.0517039864408801
13.8,129.717589159564,116.232069499032,1691.51,15.5901547587514,13.5722222222222,11.6381919851873,7.08367597451508,13.6370465959626,-2.62781662781873,-8.99209932077519,7.24051551832376,1.47125712175147,1.99971944712784,11.4018308315127,9781.74060188176,26480.487440559,3323.28347107724,-2274.02620340057,0.0471712285505833
13.9,130.353050534952,117.633118342391,1691.38,15.7468921388999,13.6888888888889,11.074357737915,5.87871523015271,14.3890477164134,-2.52202797202885,-10.2148402728725,4.01087087379581,-1.48706164658899,0.0897247760430267,11.069532134054,10012.8139182793,26232.699188811,354.670857259029,-2317.00301628431,0.0446595752704491
14,130.957886605132,119.112006671826,1691.32,15.6480425857182,13.9611111111111,11.224535657738,4.67851738046133,14.6590070709671,-2.84362859362986,-10.1853661190684,1.45689747102033,-4.48619744452921,-0.865198486070479,11.1911315466803,9879.32814288196,25997.0945454539,-1666.26707416279,-2507.45631212582,0.0457040115605176
14.1,131.386615138151,120.490809475047,1690.86,15.3208971485357,14.0333333333333,9.67934058844526,3.80253822343178,14.4249669073783,-3.49155011655116,-8.12086566247672,-0.376820400372511,-5.25349231511701,-1.17308353518261,9.56513291126492,9408.69389554282,25753.8980139855,-2460.36943367336,-2794.41484310567,0.0409321197642132
14.2,131.585641393068,121.936316926031,1690.25,15.2621057118784,14.0333333333333,5.93746018278289,3.20119592173598,14.2826190131064,-4.32331002331111,-4.17156593159811,-1.80995475949988,-3.81779188393317,-1.48730434831081,5.62644809773755,9181.37737609479,25486.0232727269,-2590.42842418564,-3069.11723050862,0.024677436181792
14.3,131.907177582903,123.40407379142,1689.89,15.1870687975451,14.2555555555556,3.18529152024953,2.91728134608799,14.1563562352487,-4.66198523698554,0.299643812673129,-2.86949857368915,-1.34991614187555,-2.202808852839,2.25542530153354,9043.36556063419,25140.3636923075,-2591.20144458791,-3252.06449215142,0.00997544702977098
14.4,132.259340848902,124.782872778417,1689.52,14.9785993370242,14.3333333333333,5.60964860439341,3.10537008356254,13.9600454068208,-4.4533411033423,4.172877236847,-3.59295339017116,1.07048538851996,-2.80177738750152,5.04575668512204,8901.50057581921,24782.9961398596,-2539.05421165415,-3330.6715317784,0.0216611245040898
